Ngày,Thời điểm cập nhật giá mới,Mã vàng,Loại vàng,Giá mua (VND/lượng),Giá bán (VND/lượng),Tỷ giá USD/VND,Chênh lệch giá VN – TG,Tỷ lệ chênh lệch (%),Chênh lệch giá mua (VND/lượng),Chênh lệch giá bán (VND/lượng)
2026-04-10,00:30:00,BT9999NTT,Bao Tin 9999,168500000.0,171500000.0,26231.561092,171500000.0,,,
2026-04-10,00:30:00,BTSJC,Bao Tin SJC,168500000.0,171500000.0,26231.561092,171500000.0,,,
2026-04-10,00:30:00,DOHCML,DOJI HCM,168500000.0,171500000.0,26231.561092,171500000.0,,,
2026-04-10,00:30:00,DOHNL,DOJI Hanoi,168500000.0,171500000.0,26231.561092,171500000.0,,,
2026-04-10,00:30:00,DOJINHTV,DOJI Jewelry,168500000.0,171500000.0,26231.561092,171500000.0,,,
2026-04-10,00:30:00,PQHN24NTT,PNJ 24K,168000000.0,171000000.0,26231.561092,171000000.0,,,
2026-04-10,00:30:00,PQHNVM,PNJ Hanoi,168300000.0,171500000.0,26231.561092,171500000.0,,,
2026-04-10,00:30:00,SJ9999,SJC Ring,168000000.0,171000000.0,26231.561092,171000000.0,,,
2026-04-10,00:30:00,SJL1L10,SJC 9999,168500000.0,171500000.0,26231.561092,171500000.0,,,
2026-04-10,00:30:00,VIETTINMSJC,Viettin SJC,168500000.0,171500000.0,26231.561092,171500000.0,,,
2026-04-10,00:30:00,VNGSJC,VN Gold SJC,168500000.0,171500000.0,26231.561092,171500000.0,,,
2026-04-10,00:30:00,XAUUSD,World Gold (XAU/USD),151675901.84,0.0,26231.561092,,,,
2026-04-10,01:30:00,BT9999NTT,Bao Tin 9999,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,01:30:00,BTSJC,Bao Tin SJC,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,01:30:00,DOHCML,DOJI HCM,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,01:30:00,DOHNL,DOJI Hanoi,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,01:30:00,DOJINHTV,DOJI Jewelry,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,01:30:00,PQHN24NTT,PNJ 24K,168000000.0,171000000.0,26231.561092,171000000.0,,0.0,0.0
2026-04-10,01:30:00,PQHNVM,PNJ Hanoi,168300000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,01:30:00,SJ9999,SJC Ring,168000000.0,171000000.0,26231.561092,171000000.0,,0.0,0.0
2026-04-10,01:30:00,SJL1L10,SJC 9999,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,01:30:00,VIETTINMSJC,Viettin SJC,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,01:30:00,VNGSJC,VN Gold SJC,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,01:30:00,XAUUSD,World Gold (XAU/USD),151286900.07,0.0,26231.561092,,,-389001.77,0.0
2026-04-10,02:30:00,BT9999NTT,Bao Tin 9999,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,02:30:00,BTSJC,Bao Tin SJC,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,02:30:00,DOHCML,DOJI HCM,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,02:30:00,DOHNL,DOJI Hanoi,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,02:30:00,DOJINHTV,DOJI Jewelry,168500000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
2026-04-10,02:30:00,PQHN24NTT,PNJ 24K,168000000.0,171000000.0,26231.561092,171000000.0,,0.0,0.0
2026-04-10,02:30:00,PQHNVM,PNJ Hanoi,168300000.0,171500000.0,26231.561092,171500000.0,,0.0,0.0
