Ngày,Thời điểm,Mã vàng,Loại vàng,Giá mua,Giá bán,Day change buy,Day change sell,Currency,Số lần update
2026-01-25,14:51:47,BT9999NTT,Bao Tin 9999,171300000.0,174300000,,,VND,
2026-01-25,14:51:47,BTSJC,Bao Tin SJC,172300000.0,174300000,,,VND,
2026-01-25,14:51:47,DOHCML,DOJI HCM,172300000.0,174300000,,,VND,
2026-01-25,14:51:47,DOHNL,DOJI Hanoi,172300000.0,174300000,,,VND,
2026-01-25,14:51:47,DOJINHTV,DOJI Jewelry,170000000.0,173000000,,,VND,
2026-01-25,14:51:47,PQHN24NTT,PNJ 24K,170500000.0,173500000,,,VND,
2026-01-25,14:51:47,PQHNVM,PNJ Hanoi,171500000.0,174300000,,,VND,
2026-01-25,14:51:47,SJ9999,SJC Ring,170500000.0,173000000,,,VND,
2026-01-25,14:51:47,SJL1L10,SJC 9999,172300000.0,174300000,,,VND,
2026-01-25,14:51:47,VIETTINMSJC,Viettin SJC,170200000.0,172200000,,,VND,
2026-01-25,14:51:47,VNGSJC,VN Gold SJC,172300000.0,174300000,,,VND,
2026-01-25,14:51:47,XAUUSD,World Gold (XAU/USD),4985.1,0,,,USD,
2026-01-25,15:09:59,BT9999NTT,Bao Tin 9999,171300000.0,174300000,,,VND,
2026-01-25,15:09:59,BTSJC,Bao Tin SJC,172300000.0,174300000,,,VND,
2026-01-25,15:09:59,DOHCML,DOJI HCM,172300000.0,174300000,,,VND,
2026-01-25,15:09:59,DOHNL,DOJI Hanoi,172300000.0,174300000,,,VND,
2026-01-25,15:09:59,DOJINHTV,DOJI Jewelry,170000000.0,173000000,,,VND,
2026-01-25,15:09:59,PQHN24NTT,PNJ 24K,170500000.0,173500000,,,VND,
2026-01-25,15:09:59,PQHNVM,PNJ Hanoi,171500000.0,174300000,,,VND,
2026-01-25,15:09:59,SJ9999,SJC Ring,170500000.0,173000000,,,VND,
2026-01-25,15:09:59,SJL1L10,SJC 9999,172300000.0,174300000,,,VND,
2026-01-25,15:09:59,VIETTINMSJC,Viettin SJC,170200000.0,172200000,,,VND,
2026-01-25,15:09:59,VNGSJC,VN Gold SJC,172300000.0,174300000,,,VND,
2026-01-25,15:09:59,XAUUSD,World Gold (XAU/USD),4985.1,0,,,USD,
2026-01-25,21:34:30,BT9999NTT,Bao Tin 9999,171300000.0,174300000,,,VND,
2026-01-25,21:34:30,BTSJC,Bao Tin SJC,172300000.0,174300000,,,VND,
2026-01-25,21:34:30,DOHCML,DOJI HCM,172300000.0,174300000,,,VND,
2026-01-25,21:34:30,DOHNL,DOJI Hanoi,172300000.0,174300000,,,VND,
2026-01-25,21:34:30,DOJINHTV,DOJI Jewelry,170000000.0,173000000,,,VND,
2026-01-25,21:34:30,PQHN24NTT,PNJ 24K,170500000.0,173500000,,,VND,
2026-01-25,21:34:30,PQHNVM,PNJ Hanoi,171500000.0,174300000,,,VND,
2026-01-25,21:34:30,SJ9999,SJC Ring,170500000.0,173000000,,,VND,
2026-01-25,21:34:30,SJL1L10,SJC 9999,172300000.0,174300000,,,VND,
2026-01-25,21:34:30,VIETTINMSJC,Viettin SJC,170200000.0,172200000,,,VND,
2026-01-25,21:34:30,VNGSJC,VN Gold SJC,172300000.0,174300000,,,VND,
2026-01-25,21:34:30,XAUUSD,World Gold (XAU/USD),4985.1,0,,,USD,
