Ngày,Thời điểm cập nhật giá mới,Thời điểm cập nhật dữ liệu,Mã vàng,Loại vàng,Giá mua,Giá bán,Day change buy,Day change sell,Currency,Số lần update
2026-04-19,00:00:00,2026-04-19 23:59:34.947,BT9999NTT,Bao Tin 9999,168500000.0,171500000,,,,1
2026-04-19,00:00:00,2026-04-19 23:59:34.947,BTSJC,Bao Tin SJC,168500000.0,172000000,,,,1
2026-04-19,00:00:00,2026-04-19 23:59:34.947,DOHCML,DOJI HCM,168500000.0,172000000,,,,1
2026-04-19,00:00:00,2026-04-19 23:59:34.947,DOHNL,DOJI Hanoi,168500000.0,172000000,,,,1
2026-04-19,00:00:00,2026-04-19 23:59:34.947,DOJINHTV,DOJI Jewelry,168500000.0,171500000,,,,1
2026-04-19,00:00:00,2026-04-19 23:59:34.947,PQHN24NTT,PNJ 24K,168500000.0,171500000,,,,1
2026-04-19,00:00:00,2026-04-19 23:59:34.947,PQHNVM,PNJ Hanoi,168500000.0,172000000,,,,1
2026-04-19,00:00:00,2026-04-19 23:59:34.947,SJ9999,SJC Ring,168000000.0,171500000,,,,1
2026-04-19,00:00:00,2026-04-19 23:59:34.947,SJL1L10,SJC 9999,168500000.0,172000000,,,,1
2026-04-19,00:00:00,2026-04-19 23:59:34.947,VIETTINMSJC,Viettin SJC,167500000.0,171000000,,,,1
2026-04-19,00:00:00,2026-04-19 23:59:34.947,VNGSJC,VN Gold SJC,168500000.0,172000000,,,,1
2026-04-19,00:00:00,2026-04-19 23:59:34.947,XAUUSD,World Gold (XAU/USD),4831.4,0,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,BT9999NTT,Bao Tin 9999,168500000.0,171500000,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,BTSJC,Bao Tin SJC,168500000.0,172000000,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,DOHCML,DOJI HCM,168500000.0,172000000,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,DOHNL,DOJI Hanoi,168500000.0,172000000,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,DOJINHTV,DOJI Jewelry,168500000.0,171500000,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,PQHN24NTT,PNJ 24K,168500000.0,171500000,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,PQHNVM,PNJ Hanoi,168500000.0,172000000,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,SJ9999,SJC Ring,168000000.0,171500000,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,SJL1L10,SJC 9999,168500000.0,172000000,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,VIETTINMSJC,Viettin SJC,167500000.0,171000000,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,VNGSJC,VN Gold SJC,168500000.0,172000000,,,,1
2026-04-20,00:00:00,2026-04-20 04:59:36.275,XAUUSD,World Gold (XAU/USD),4831.4,0,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,BT9999NTT,Bao Tin 9999,168500000.0,171500000,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,BTSJC,Bao Tin SJC,168500000.0,172000000,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,DOHCML,DOJI HCM,168500000.0,172000000,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,DOHNL,DOJI Hanoi,168500000.0,172000000,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,DOJINHTV,DOJI Jewelry,168500000.0,171500000,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,PQHN24NTT,PNJ 24K,168500000.0,171500000,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,PQHNVM,PNJ Hanoi,168500000.0,172000000,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,SJ9999,SJC Ring,168000000.0,171500000,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,SJL1L10,SJC 9999,168500000.0,172000000,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,VIETTINMSJC,Viettin SJC,167500000.0,171000000,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,VNGSJC,VN Gold SJC,168500000.0,172000000,,,,1
2026-04-20,05:30:00,2026-04-20 05:59:36.364,XAUUSD,World Gold (XAU/USD),4787.5,0,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,BT9999NTT,Bao Tin 9999,168500000.0,171500000,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,BTSJC,Bao Tin SJC,168500000.0,172000000,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,DOHCML,DOJI HCM,168500000.0,172000000,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,DOHNL,DOJI Hanoi,168500000.0,172000000,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,DOJINHTV,DOJI Jewelry,168500000.0,171500000,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,PQHN24NTT,PNJ 24K,168500000.0,171500000,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,PQHNVM,PNJ Hanoi,168500000.0,172000000,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,SJ9999,SJC Ring,168000000.0,171500000,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,SJL1L10,SJC 9999,168500000.0,172000000,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,VIETTINMSJC,Viettin SJC,167500000.0,171000000,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,VNGSJC,VN Gold SJC,168500000.0,172000000,,,,1
2026-04-20,06:30:00,2026-04-20 06:59:36.582,XAUUSD,World Gold (XAU/USD),4770.8,0,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,BT9999NTT,Bao Tin 9999,168500000.0,171500000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,BTSJC,Bao Tin SJC,168500000.0,172000000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,DOHCML,DOJI HCM,168500000.0,172000000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,DOHNL,DOJI Hanoi,168500000.0,172000000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,DOJINHTV,DOJI Jewelry,168500000.0,171500000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,PQHN24NTT,PNJ 24K,168500000.0,171500000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,PQHNVM,PNJ Hanoi,168500000.0,172000000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,SJ9999,SJC Ring,168000000.0,171500000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,SJL1L10,SJC 9999,168500000.0,172000000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,VIETTINMSJC,Viettin SJC,167500000.0,171000000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,VNGSJC,VN Gold SJC,168500000.0,172000000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,XAUUSD,World Gold (XAU/USD),4764.9,0,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,BT9999NTT,Bao Tin 9999,168500000.0,171500000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,BTSJC,Bao Tin SJC,168500000.0,172000000,,,,1
